file	y_dist_max	x_dist_max	x_dist_min	x_dist_mean	lower_bound	y_res_max	x_res_max	x_res_min	x_res_mean	upper_bound
P100_S150_B5_R0.5_I9.csv	504	0.24	-0.32	-0.04	-0.455204768235	6	-0.51	-0.76	-0.634	-0.387285523514
P100_S150_B5_R0.5_I7.csv	478	0.245	-0.315	-0.035	-0.450204768235	6	-0.44	-0.755	-0.5975	-0.316864479096
P100_S150_B5_R0.5_I8.csv	480	0.24	-0.385	-0.0713636363636	-0.524261440376	9	-0.445	-0.76	-0.6025	-0.321864479096
P100_S150_B5_R0.5_I6.csv	374	0.25	-0.31	-0.03	-0.445204768235	4	-0.435	-0.75	-0.5925	-0.311864479096
P100_S150_B5_R0.5_I5.csv	488	0.24	-0.32	-0.04	-0.455204768235	6	-0.445	-0.76	-0.6025	-0.321864479096
P100_S150_B5_R0.5_I0.csv	447	0.245	-0.38	-0.0663636363636	-0.519261440376	11	-0.505	-0.755	-0.629	-0.382285523514
P100_S150_B5_R0.5_I2.csv	462	0.245	-0.38	-0.0663636363636	-0.519261440376	6	-0.315	-0.755	-0.591	-0.104401559969
P100_S150_B5_R0.5_I1.csv	477	0.25	-0.375	-0.0613636363636	-0.514261440376	7	-0.5	-0.75	-0.624	-0.377285523514
P100_S150_B5_R0.5_I4.csv	426	0.267379679144	-0.331550802139	-0.0320855614973	-0.476154832337	6	-0.331550802139	-0.732620320856	-0.555258467023	-0.179657795242
P100_S150_B5_R0.5_I3.csv	409	0.262032085561	-0.336898395722	-0.0374331550802	-0.481502425919	7	-0.540106951872	-0.737967914439	-0.639037433155	-0.403870907533
