,population,number_of_samples,number_of_bout,min_resampled,min_times_resampled,tot_resamp,mean_rs_per_ind,met_resamp_min,mean_rs_per_mrm
1,100,100,5,2,3,5.0,1.2,0.0,0.0
2,100,120,6,2,3,9.0,1.0,0.0,0.0
3,100,140,7,2,3,11.0,1.1,0.0,0.0
4,100,160,8,2,3,9.0,1.8,1.0,4.0
5,100,105,5,2,3,6.0,1.0,0.0,0.0
6,100,126,6,2,3,7.0,1.3,1.0,3.0
7,100,168,8,2,3,9.0,1.4,0.0,0.0
8,100,110,5,2,3,9.0,1.2,0.0,0.0
9,100,132,6,2,3,11.0,1.1,0.0,0.0
10,100,154,7,2,3,12.0,1.3,0.0,0.0
11,100,176,8,2,3,10.0,1.3,1.0,3.0
12,100,115,5,2,3,5.0,1.2,0.0,0.0
13,100,138,6,2,3,11.0,1.4,1.0,3.0
14,100,161,7,2,3,7.0,1.4,0.0,0.0
15,100,184,8,2,3,12.0,1.3,0.0,0.0
16,100,120,5,2,3,8.0,1.3,0.0,0.0
17,100,144,6,2,3,10.0,1.2,0.0,0.0
18,100,192,8,2,3,11.0,1.5,1.0,3.0
19,100,125,5,2,3,9.0,1.2,0.0,0.0
20,100,150,6,2,3,12.0,1.2,0.0,0.0
21,100,175,7,2,3,17.0,1.6,1.0,5.0
